COU,Country,Paid_Men,Paid_Women,Total_Men,Total_Women,Unpaid_Men,Unpaid_Women,Unpaid_Work_Pct_Diff
IND,India,390.6,184.7,442.3,536.6,51.8,351.9,579.3436293436292
JPN,Japan,451.8,271.5,492.6,495.8,40.8,224.3,449.75490196078437
TUR,Türkiye,358.3,133.9,425.8,439.0,67.6,305.0,351.1834319526628
KOR,Korea,419.0,269.4,468.0,484.4,49.0,215.0,338.7755102040816
PRT,Portugal,372.3,231.3,468.6,559.4,96.3,328.2,240.809968847352
GRC,Greece,274.3,184.5,369.4,444.0,95.1,259.5,172.87066246056784
CHN,China,390.0,291.0,481.0,525.0,91.0,234.0,157.14285714285714
MEX,Mexico,478.3,236.3,609.8,567.6,131.4,331.3,152.13089802130898
ZAF,South Africa,294.2,195.0,397.1,444.6,102.9,249.6,142.56559766763846
ITA,Italy,220.8,133.1,351.5,439.5,130.7,306.3,134.35348125478197
