Country,GDI,year-female,year-male,percentage_gap
Senegal,0.874,1.6,4.5,95.08196721311477
Chad,0.77,1.5,3.7,84.61538461538461
Guinea,0.85,1.3,3.2,84.44444444444446
Guinea-Bissau,0.867,2.4,4.9,68.49315068493152
Togo,0.849,3.4,6.8,66.66666666666667
Ethiopia,0.921,2.2,4.2,62.5
Central African Republic,0.81,3.1,5.6,57.47126436781609
Yemen,0.496,2.9,5.1,54.99999999999999
Mozambique,0.922,2.4,4.1,52.3076923076923
Burkina Faso,0.903,1.6,2.7,51.16279069767441
Sierra Leone,0.893,3.5,5.8,49.46236559139784
Niger,0.835,1.7,2.8,48.88888888888888
Angola,0.903,4.2,6.9,48.648648648648646
Benin,0.88,3.3,5.4,48.27586206896554
Liberia,0.871,3.9,6.3,47.05882352941176
