COU,Country,Paid_Men,Paid_Women,Total_Men,Total_Women,Unpaid_Men,Unpaid_Women,Unpaid_Work_Pct_Diff
IND, India, 358.3, 133.9, 466.46, 439.0, 108.16, 305.0, 181.99
JPN, Japan, 294.2, 195.0, 458.84, 444.6, 164.64, 249.6, 51.60
TUR, Türkiye, 478.3, 236.3, 688.54, 567.6, 210.24, 331.3, 57.58
KOR, Korea, 372.3, 231.3, 526.38, 559.4, 154.08, 328.2, 113.01
PRT, Portugal, 274.3, 184.5, 426.46, 444.0, 152.16, 259.5, 70.54
GRC, Greece, 451.8, 271.5, 517.08, 495.8, 65.28, 224.3, 243.60
CHN, China, 390.6, 184.7, 473.48, 536.6, 82.88, 351.9, 324.59
MEX, Mexico, 390.0, 291.0, 535.6, 525.0, 145.6, 234.0, 60.71
ZAF, South Africa, 220.8, 133.1, 429.92, 439.5, 209.12, 306.3, 46.47
ITA, Italy, 419.0, 269.4, 497.4, 484.4, 78.4, 215.0, 174.23
